번호	기업명	직무	동문 학과	신청	URL
01	쿠팡로지스틱스서비스	HR/오퍼레이션	경영학	1	https://polanyi082.github.io/HANSHIN-UNIVERSITY_JOB-MENTOR/c/01.html
02	글로벌경제신문	기자	문예창작학과	0	https://polanyi082.github.io/HANSHIN-UNIVERSITY_JOB-MENTOR/c/02.html
03	성남시아동보호전문기관	사회복지	사회복지학과	2	https://polanyi082.github.io/HANSHIN-UNIVERSITY_JOB-MENTOR/c/03.html
04	유니애대부	금융권(채권관리)	IT경영	0	https://polanyi082.github.io/HANSHIN-UNIVERSITY_JOB-MENTOR/c/04.html
05	쿠팡풀필먼트서비스	데이터분석	IT경영학과	0	https://polanyi082.github.io/HANSHIN-UNIVERSITY_JOB-MENTOR/c/05.html
06	샤넬코리아	물류/무역	동북아 국제통상학	2	https://polanyi082.github.io/HANSHIN-UNIVERSITY_JOB-MENTOR/c/06.html
07	카카오엔터프라이즈	서버 개발	컴퓨터공학부	4	https://polanyi082.github.io/HANSHIN-UNIVERSITY_JOB-MENTOR/c/07.html
08	한국경제인협회 중소기업협력센터	사회공헌/사업관리	사회복지학	2	https://polanyi082.github.io/HANSHIN-UNIVERSITY_JOB-MENTOR/c/08.html
09	옴니콤미디어그룹코리아	AE, 미디어플래닝	미디어영상광고홍보	0	https://polanyi082.github.io/HANSHIN-UNIVERSITY_JOB-MENTOR/c/09.html
10	호텔롯데월드	IT개발	컴퓨터공학부	0	https://polanyi082.github.io/HANSHIN-UNIVERSITY_JOB-MENTOR/c/10.html
